"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","MVP","DPOY"
"132","Devon Dotson",2021,"PG",21,"CHI",9,0,2.9,0.7,1.1,0.6,0,0.1,0,0.7,1,0.667,0.6,0,0,0,0.2,0.1,0.3,0.3,0.3,0,0,0.1,1.3,23.7,0.6,0.1,0,8.6,4.2,6.4,17.9,5.6,0,0,16.7,0.1,0,0.1,0.233,2.5,4.9,7.4,0.1,0,0
"133","Sekou Doumbouya",2021,"PF",20,"DET",56,11,15.5,1.9,5,0.379,0.5,2.1,0.226,1.4,3,0.485,0.426,0.8,1.1,0.703,0.7,1.9,2.6,0.8,0.4,0.2,0.8,1.7,5.1,6.9,0.459,0.408,0.227,4.9,13.4,9.1,8,1.4,0.9,12.4,17.8,-0.9,0.7,-0.2,-0.011,-5.4,-1.7,-7,-1.1,0,0
"134","PJ Dozier",2021,"SG",24,"DEN",50,6,21.8,3,7.1,0.417,0.9,3,0.315,2,4.1,0.49,0.483,0.8,1.3,0.636,0.7,2.9,3.6,1.8,0.6,0.4,0.9,1.7,7.7,10.4,0.501,0.42,0.186,3.7,15.3,9.5,11.2,1.4,2,10.7,17.2,0.1,1.1,1.1,0.051,-2.2,-0.8,-3,-0.3,0,0
"135","Goran Dragic",2021,"PG",34,"MIA",48,11,26.8,4.8,11,0.435,1.8,4.8,0.371,3,6.2,0.483,0.515,2,2.5,0.822,0.5,2.9,3.4,4.4,0.7,0.2,2.3,2.3,13.3,13.1,0.553,0.435,0.224,2.3,12.2,7.3,26.2,1.3,0.7,16.2,24.2,0.2,1.1,1.4,0.051,-1.2,-1.7,-2.9,-0.3,0,0
"136","Andre Drummond",2021,"C",27,"TOT",43,43,27.2,6.1,12.5,0.488,0,0.2,0,6.1,12.3,0.495,0.488,2.7,4.5,0.609,3.6,8.3,11.9,2.1,1.4,1,2.8,3.2,15,19.1,0.516,0.015,0.356,14.5,35.1,24.6,13.7,2.6,3.4,16,27.6,-0.6,2.4,1.7,0.071,-1.5,0.6,-0.9,0.3,0,0
"137","Jared Dudley",2021,"PF",35,"LAL",11,0,6.9,0.2,0.6,0.286,0.2,0.5,0.4,0,0.2,0,0.429,0,0,0,0.4,1.4,1.7,0.5,0.1,0.1,0.2,0.6,0.5,5.4,0.429,0.714,0,6,22,14,8.2,0.6,1.2,22.2,5.2,0,0.1,0.1,0.078,-3.8,0.2,-3.6,0,0,0
"138","Kris Dunn",2021,"PG",26,"ATL",4,0,11.3,0.3,3,0.083,0,0.5,0,0.3,2.5,0.1,0.083,0.8,1,0.75,0,1.5,1.5,0.5,0.5,0.5,0.8,2.5,1.3,-5.7,0.182,0.167,0.333,0,14.4,7.3,5.4,2.2,3.9,17.9,16.2,-0.2,0.1,-0.2,-0.205,-13.9,0,-13.9,-0.1,0,0
"139","Kevin Durant",2021,"PF",32,"BRK",32,29,33.4,9.6,17.7,0.544,2.6,5.5,0.469,7,12.2,0.578,0.617,6.1,6.9,0.878,0.4,6.6,7,5.3,0.8,1.3,3.5,2.1,27.9,26.8,0.674,0.313,0.392,1.3,20.9,11.6,26.3,1.1,3.5,14.4,31.6,3.5,1.1,4.6,0.208,6.5,0.7,7.2,2.5,0,0
"140","Anthony Edwards",2021,"SG",19,"MIN",69,52,31.9,6.9,16.8,0.414,2.3,7.1,0.327,4.6,9.6,0.48,0.484,2.8,3.6,0.767,0.8,3.9,4.7,2.8,1.1,0.5,2.3,1.8,19,13.4,0.518,0.426,0.215,2.8,13.6,8,14.2,1.7,1.3,11,27,-1,1.4,0.4,0.008,-1.2,-1.8,-3,-0.5,0,0
"141","Carsen Edwards",2021,"SG",22,"BOS",29,1,8.4,1.5,3.3,0.453,0.6,1.8,0.302,0.9,1.4,0.643,0.537,0.4,0.4,0.846,0.1,0.7,0.8,0.5,0.2,0,0.2,0.8,3.9,11.9,0.561,0.558,0.137,1.4,9.7,5.5,8.4,1.2,0.4,5.6,18.8,0.3,0.1,0.4,0.081,-2.3,-1.7,-4,-0.1,0,0
"142","CJ Elleby",2021,"SF",20,"POR",28,0,6.6,0.9,2.3,0.381,0.3,1.1,0.219,0.6,1.1,0.548,0.437,0.4,0.5,0.733,0.4,0.7,1.1,0.4,0.2,0.1,0.2,0.9,2.4,9.7,0.474,0.508,0.238,6.1,11.8,8.9,7.4,1.6,1.4,6.7,17.2,0.1,0.1,0.1,0.038,-3.8,-1.4,-5.2,-0.2,0,0
"143","Henry Ellenson",2021,"PF",24,"TOR",2,0,19,2.5,7,0.357,1,4.5,0.222,1.5,2.5,0.6,0.429,1.5,2,0.75,1.5,4.5,6,2.5,0,0,0,3.5,7.5,12.8,0.476,0.643,0.286,8.4,27,17.4,19,0,0,0,17.9,0.1,0,0.1,0.129,-3.1,1,-2.1,0,0,0
"144","Wayne Ellington",2021,"SG",33,"DET",46,31,22,3.2,7.3,0.441,2.5,6,0.422,0.7,1.4,0.524,0.612,0.6,0.8,0.8,0.3,1.6,1.8,1.5,0.4,0.2,0.7,1.3,9.6,12.2,0.625,0.814,0.104,1.3,8.1,4.7,10.2,0.9,0.8,8.5,16.7,1.3,0.5,1.9,0.089,1.3,-1.7,-0.4,0.4,0,0
"145","Joel Embiid",2021,"C",26,"PHI",49,49,31.4,9.3,18,0.516,1.2,3.1,0.377,8.1,14.9,0.545,0.549,9.5,11,0.86,2.3,8.4,10.7,2.9,1,1.4,3.1,2.4,29.2,31.1,0.64,0.171,0.614,8.2,29,18.8,16.5,1.5,4,11.9,35.5,5.8,3.1,8.9,0.278,6.7,1.1,7.8,3.8,0,0
