"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","ROY"
"79","Tre Jones",2021,"PG",21,"SAS",34,1,6.3,0.9,1.9,0.462,0.1,0.1,0.75,0.8,1.8,0.443,0.485,0.3,0.3,1,0.2,0.3,0.5,0.8,0.2,0,0.4,0.3,2.1,10.4,0.522,0.062,0.138,3.4,5.6,4.5,16.9,1.6,0,14.8,16.5,0,0.1,0.2,0.034,-3.1,-1.4,-4.5,-0.1,0
"80","Trent Forrest",2021,"PG",22,"UTA",27,0,9.6,1,2,0.491,0.1,0.7,0.15,0.9,1.3,0.686,0.518,0.6,0.6,1,0.2,1.1,1.3,1.6,0.3,0.1,0.6,0.6,2.7,11.8,0.592,0.364,0.309,2.2,11.4,7,21.6,1.3,1.3,21.4,13.3,0.3,0.3,0.7,0.122,-2.6,1,-1.7,0,0
"81","Ty-Shon Alexander",2021,"SG",22,"PHO",14,0,3,0.1,0.8,0.182,0.1,0.6,0.125,0.1,0.2,0.333,0.227,0.1,0.1,0.5,0.1,0.4,0.5,0.3,0,0.1,0.1,0.1,0.4,0,0.253,0.727,0.182,2.7,15.9,9.5,11.4,0,2.2,14.4,14.7,-0.1,0,-0.1,-0.117,-8,-2.6,-10.6,-0.1,0
"82","Tyler Bey",2021,"SF",22,"DAL",16,0,3.9,0.4,1.3,0.35,0.1,0.3,0.25,0.4,1,0.375,0.375,0.2,0.3,0.6,0.4,0.6,1,0.1,0,0.1,0.1,0.4,1.1,6.8,0.405,0.2,0.25,10.6,17.3,14,4.3,0,1.5,8.3,17,-0.1,0,0,-0.01,-5.2,-3.7,-8.9,-0.1,0
"83","Tyrell Terry",2021,"PG",20,"DAL",11,0,5.1,0.5,1.5,0.313,0,0.6,0,0.5,0.8,0.556,0.313,0.1,0.3,0.333,0,0.5,0.5,0.5,0.5,0,0.2,0.2,1,6,0.318,0.438,0.188,0,11.7,5.9,14,4.4,0,10.4,15.3,-0.1,0.1,-0.1,-0.048,-7.7,2.2,-5.5,-0.1,0
"84","Tyrese Haliburton",2021,"PG",20,"SAC",58,20,30.1,5,10.7,0.472,2.1,5.1,0.409,2.9,5.6,0.529,0.569,0.8,1,0.857,0.7,2.3,3,5.3,1.3,0.5,1.6,1.4,13,16.2,0.585,0.478,0.09,2.5,8.6,5.5,24.5,2.1,1.4,12.5,18.1,2.8,0.6,3.5,0.096,1.9,-0.9,1.1,1.4,0
"85","Tyrese Maxey",2021,"SG",20,"PHI",58,7,14.8,3.1,6.8,0.461,0.5,1.7,0.292,2.6,5.1,0.515,0.496,0.9,1.1,0.857,0.2,1.4,1.6,1.8,0.4,0.2,0.7,1.2,7.7,13.9,0.528,0.244,0.16,1.4,10.2,5.9,18.8,1.2,1.2,8.5,23,0.6,1,1.6,0.09,-1.5,-0.8,-2.2,0,0
"86","Udoka Azubuike",2021,"C",21,"UTA",12,0,4.1,0.3,0.6,0.571,0,0,0,0.3,0.6,0.571,0.571,0.3,0.5,0.667,0.3,0.8,1.1,0,0.1,0.3,0.3,0.7,1,10.5,0.622,0,0.857,9.1,18.7,14.1,0,1,6.6,23.7,11.1,0,0.1,0.1,0.11,-5.5,1.2,-4.3,0,0
"87","Will Magnay",2021,"C",22,"NOP",1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-35.2,0,1,0,0,0,0,0,0,0,50,28,0,0,0,-0.786,-30.7,-8.9,-39.6,0,0
"88","Zeke Nnaji",2021,"PF",20,"DEN",40,1,9.1,1.1,2.4,0.474,0.5,1.3,0.377,0.6,1.1,0.595,0.579,0.3,0.4,0.8,0.3,1.1,1.5,0.2,0.2,0.1,0.2,0.7,3.1,10.5,0.6,0.558,0.158,4.1,14,9.1,2.9,0.8,1.1,6.4,13.1,0.4,0.3,0.7,0.092,-1.2,-1.7,-2.9,-0.1,0
