"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","SMOY"
"141","Wesley Iwundu",2021,"SF",26,"TOT",40,4,13.2,0.8,2.4,0.33,0.1,1,0.122,0.7,1.4,0.482,0.356,0.7,0.8,0.839,0.3,1.8,2.2,0.5,0.4,0.1,0.5,1.2,2.4,4.2,0.429,0.423,0.32,2.7,15.1,8.9,4.2,1.4,0.7,14.7,10.6,-0.5,0.4,0,-0.003,-6.2,-0.4,-6.6,-0.6,0
"142","Frank Jackson",2021,"PG",22,"DET",40,6,18.5,3.4,7.3,0.457,1.5,3.8,0.407,1.8,3.6,0.51,0.561,1.5,1.9,0.813,0.4,1.8,2.2,0.9,0.4,0,0.9,1.3,9.8,13.3,0.598,0.512,0.256,2.2,10.8,6.5,7.9,1,0.1,9.4,21.3,0.7,0.4,1.2,0.076,-0.4,-1.6,-2.1,0,0
"143","Jaren Jackson Jr.",2021,"C",21,"MEM",9,2,23,4.8,11.2,0.426,1.4,5.4,0.265,3.3,5.8,0.577,0.49,3.7,4.3,0.846,1.4,4,5.4,0.9,1,1.6,1.3,3.6,14.7,18.5,0.559,0.485,0.386,6.6,18.7,12.6,5.7,2.1,6.1,9.2,26.6,0.2,0.4,0.6,0.129,-0.5,0.2,-0.3,0.1,0
"144","Josh Jackson",2021,"SG",23,"DET",60,24,25,4.8,11.3,0.423,1.3,4.1,0.309,3.5,7.3,0.486,0.478,2.5,3.5,0.729,0.9,3.1,4,2.2,0.9,0.7,2.3,2.9,13.3,11.9,0.519,0.358,0.305,4,14,8.9,14.6,1.7,2.5,15.4,26.5,-1.5,1.6,0.1,0.003,-2.5,-0.9,-3.4,-0.5,0
"145","Justin Jackson",2021,"SF",25,"OKC",33,3,16.5,2.6,6.4,0.406,1,3.4,0.306,1.6,3.1,0.515,0.486,0.9,1.1,0.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,0.9,7.2,10.7,0.519,0.524,0.165,2.6,11.1,6.8,14.5,1.3,0.3,12,20.2,-0.1,0.3,0.2,0.018,-2,-1,-2.9,-0.1,0
"146","Justin James",2021,"SF",24,"SAC",34,0,7.4,1,2.4,0.432,0.3,0.9,0.323,0.7,1.5,0.5,0.494,0.4,0.7,0.5,0.1,0.4,0.5,0.5,0.2,0.1,0.3,0.5,2.7,8.2,0.502,0.383,0.296,2.2,5.3,3.7,9.5,1.1,1,9.8,17.3,-0.1,0,-0.1,-0.014,-3.5,-2.8,-6.2,-0.3,0
"147","Mike James",2021,"PG",30,"BRK",10,0,16.6,2,5.6,0.357,0.6,2,0.3,1.4,3.6,0.389,0.411,2,2.4,0.833,0.3,1.9,2.2,3.6,0.4,0.1,1.6,0.6,6.6,11.4,0.496,0.357,0.429,2.1,12.1,7.3,28.2,1.2,0.5,19.4,21.6,0,0.1,0.1,0.025,-2.2,-1.7,-4,-0.1,0
"148","DaQuan Jeffries",2021,"SG",23,"TOT",31,5,15.9,1.6,3.9,0.417,0.6,2.2,0.299,1,1.7,0.566,0.5,0.2,0.3,0.875,0.6,1.7,2.3,0.7,0.5,0.3,0.5,1.5,4.1,7.9,0.514,0.558,0.067,4.1,11.8,7.8,6.1,1.5,1.8,10.2,11.9,0,0.2,0.3,0.027,-3.8,-1.2,-5,-0.4,0
"149","Ty Jerome",2021,"SG",23,"OKC",33,1,23.9,3.9,8.7,0.446,2.2,5.1,0.423,1.7,3.6,0.479,0.57,0.8,1,0.765,0.3,2.5,2.8,3.6,0.6,0.2,1.4,1.8,10.7,13.4,0.585,0.585,0.118,1.3,10.9,6,23.8,1.2,0.7,13.5,18.8,0.8,0.4,1.3,0.078,0.1,-0.4,-0.3,0.3,0
"150","Isaiah Joe",2021,"SG",21,"PHI",38,1,8.8,1,3,0.345,0.8,2.3,0.348,0.2,0.6,0.333,0.482,0.3,0.5,0.722,0.2,0.7,0.9,0.5,0.3,0.1,0.2,0.8,3.2,8.4,0.504,0.788,0.159,2,8.7,5.4,7.3,1.4,1.1,6.9,16.6,0,0.4,0.4,0.063,-2.8,-1.2,-4,-0.2,0
"151","Alize Johnson",2021,"PF",24,"BRK",15,0,12.1,2.6,4.3,0.6,0.1,0.4,0.167,2.5,3.9,0.644,0.608,0.9,0.9,1,1.7,4.2,5.9,0.9,0.3,0.3,0.6,1,6.1,24.3,0.65,0.092,0.2,16.7,36.9,27.2,11.5,1.3,1.9,11.3,19.2,0.6,0.3,0.9,0.235,2.8,0.4,3.3,0.2,0
"152","Cameron Johnson",2021,"PF",24,"PHO",60,11,24,3.4,8.1,0.42,2,5.6,0.349,1.4,2.5,0.581,0.541,0.8,1,0.847,0.6,2.8,3.3,1.4,0.6,0.3,0.7,1.4,9.6,11.8,0.563,0.694,0.122,2.7,12.9,7.9,8,1.3,1,7.3,17,1.2,1.4,2.6,0.085,0,-0.6,-0.6,0.5,0
"153","James Johnson",2021,"PF",33,"TOT",48,9,20.4,2.8,6.4,0.444,0.6,2.4,0.252,2.2,4,0.56,0.492,0.9,1.5,0.614,0.6,2.8,3.5,1.9,0.9,0.9,1.1,2.4,7.2,11.6,0.511,0.376,0.229,3.5,15.1,9.3,12.7,2.1,4,13.2,17.1,0,1.2,1.2,0.06,-2.6,1.3,-1.3,0.2,0
"154","Stanley Johnson",2021,"PF",24,"TOR",58,10,15.2,1.1,3.1,0.373,0.6,1.8,0.321,0.6,1.2,0.451,0.469,0.5,0.6,0.794,0.4,1.8,2.2,1.3,0.8,0.3,0.8,1.9,3.3,7.4,0.503,0.599,0.192,2.8,13.5,8,11.5,2.5,2,19.7,11.7,-0.3,1,0.7,0.038,-4.3,1.1,-3.2,-0.3,0
"155","Tyler Johnson",2021,"SG",28,"BRK",36,3,17.4,1.8,4.7,0.388,1.3,3.4,0.363,0.6,1.3,0.457,0.521,0.5,0.6,0.857,0.2,1.8,1.9,1.1,0.4,0,0.4,1,5.4,8.3,0.544,0.729,0.124,1.1,10.6,6.1,8.3,1.1,0,7.7,13.5,0.4,0.3,0.6,0.049,-2.3,-1.3,-3.6,-0.3,0
"156","Damian Jones",2021,"C",25,"TOT",36,8,12.6,1.5,2.2,0.679,0,0.1,0.333,1.4,2.1,0.693,0.686,0.9,1.3,0.739,0.8,2,2.8,0.6,0.3,0.7,0.6,1.9,3.9,13.5,0.718,0.038,0.59,7.2,17.6,12.4,5.7,1.1,4.6,18.3,11.6,0.8,0.5,1.2,0.132,-2.9,0.9,-2,0,0
"157","Mason Jones",2021,"SG",22,"TOT",32,1,10.4,1.6,3.8,0.423,0.8,2.1,0.364,0.9,1.8,0.491,0.52,1.3,2,0.625,0.2,1.5,1.7,1.3,0.2,0,0.9,0.8,5.3,12.2,0.556,0.537,0.52,2.2,16,8.8,19,1,0.3,16.1,23,0,0.2,0.2,0.029,-1.2,-1.2,-2.4,0,0
"158","Tre Jones",2021,"PG",21,"SAS",34,1,6.3,0.9,1.9,0.462,0.1,0.1,0.75,0.8,1.8,0.443,0.485,0.3,0.3,1,0.2,0.3,0.5,0.8,0.2,0,0.4,0.3,2.1,10.4,0.522,0.062,0.138,3.4,5.6,4.5,16.9,1.6,0,14.8,16.5,0,0.1,0.2,0.034,-3.1,-1.4,-4.5,-0.1,0
"159","Tyus Jones",2021,"PG",24,"MEM",67,8,17.6,2.6,6,0.439,0.7,2,0.324,2,3.9,0.498,0.494,0.6,0.6,0.902,0.3,1.7,2,3.8,0.9,0.1,0.7,0.4,6.4,15.4,0.517,0.341,0.103,1.9,10.2,6,29,2.5,0.5,9.7,16.6,1.6,1.3,2.9,0.117,0.1,0.7,0.7,0.8,0
"160","Cory Joseph",2021,"PG",29,"TOT",62,12,22.8,3.1,6.6,0.471,0.7,2.1,0.336,2.4,4.6,0.532,0.523,1.2,1.4,0.818,0.5,2,2.5,3.4,1,0.3,1.2,2.2,8.1,12.5,0.558,0.311,0.214,2.6,9.6,6.1,21.3,2.1,1,14.6,16.2,1.3,0.8,2.1,0.07,-1.9,-0.2,-2.1,-0.1,0
"161","Mfiondu Kabengele",2021,"PF",23,"TOT",36,0,6.3,0.8,2,0.384,0.3,1.1,0.3,0.4,0.9,0.485,0.466,0.4,0.4,0.813,0.2,0.9,1.1,0.4,0.2,0.2,0.3,0.9,2.3,9.4,0.506,0.548,0.219,3.4,15.6,9.5,9.7,1.5,2.8,12.1,17.8,-0.1,0.2,0.2,0.036,-4.3,-0.2,-4.4,-0.1,0
"162","Frank Kaminsky",2021,"C",27,"PHO",44,13,14.9,2.6,5.3,0.485,0.7,1.9,0.366,1.9,3.5,0.549,0.549,0.8,1.3,0.607,0.7,3.1,3.8,1.5,0.3,0.4,0.5,1.4,6.6,16.1,0.562,0.349,0.238,5.3,23.5,14.5,14.3,1,2.2,7.2,19,1,0.8,1.9,0.137,0.5,0.9,1.4,0.6,0
